Thématiques,Critères,Accueil avec liste des dossiers (connecté) | https://citoyens.recette.telerecours.fr/#/accueil,Authentification (déconnecté)|https://citoyens.recette.telerecours.fr/#/authentication,Création de compte (personne morale)|https://citoyens.recette.telerecours.fr/#/register/morale,Mot de passe oublié|https://citoyens.recette.telerecours.fr/#/reset/request ,Mentions légales|https://citoyens.recette.telerecours.fr/#/mentions-legales,Aide / FAQ|https://citoyens.recette.telerecours.fr/#/faq,Plan du site|https://citoyens.recette.telerecours.fr/#/plan-site,Visualisation d'un dossier|https://citoyens.recette.telerecours.fr/#/historique/1175,Dépôt de requête - étape 1 avertissement|https://citoyens.recette.telerecours.fr/#/depot-requete/avertissement,Dépôt de requête - étape 2 requérant|https://citoyens.recette.telerecours.fr/#/depot-requete/requerants,Dépôt de requête - étape 3 Juridiction|https://citoyens.recette.telerecours.fr/#/depot-requete/juridiction,Dépôt de requête - étape 4 Justificatifs|https://citoyens.recette.telerecours.fr/#/depot-requete/justificatifs,Dépôt de requête - étape 5 Récapitulatif|https://citoyens.recette.telerecours.fr/#/depot-requete/recapitulatif,Mon compte|https://citoyens.recette.telerecours.fr/#/mon-profil,Rattacher un dossier à mon compte- étape 1 Avertissement|https://citoyens.recette.telerecours.fr/#/rattachement/avertissement,Rattacher un dossier à mon compte - étape 2 Saisie du code,Rattacher un dossier à mon compte - étape 3 Confirmation|https://citoyens.recette.telerecours.fr/#/rattachement/rejoindre-dossier
1,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
1,2,na,na,na,nc,na,nc,na,nc,nc,nc,nc,nc,nc,nc,nc,nt,nt
1,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
1,4,na,na,c,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
1,5,na,na,nc,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
1,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
1,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
1,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
1,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
2,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
2,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
3,1,c,nc,nc,c,c,c,c,c,nc,nc,nc,nc,nc,nc,c,nt,nt
3,2,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
3,3,nc,nc,nc,nc,c,nc,na,na,na,na,c,nc,nc,nc,c,nt,nt
4,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,12,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
4,13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
5,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
5,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nt,nt
